Name,Type1,Type2,Evolution
dark_bug_0003,Dark,Bug,
dark_bug_0004,Dark,Bug,
dark_dragon_0001,Dark,Dragon,
dark_dragon_0002,Dark,Dragon,
dark_dragon_0003,Dark,Dragon,
dark_dragon_0004,Dark,Dragon,
dark_electric_0001,Dark,Electric,
dark_electric_0002,Dark,Electric,
dark_electric_0003,Dark,Electric,
dark_electric_0004,Dark,Electric,
dark_fairy_0001,Dark,Fairy,
dark_fairy_0002,Dark,Fairy,
dark_fairy_0003,Dark,Fairy,
dark_fairy_0004,Dark,Fairy,
dark_fighting_0001,Dark,Fighting,
dark_fighting_0002,Dark,Fighting,
dark_fighting_0003,Dark,Fighting,
dark_fighting_0004,Dark,Fighting,
dark_fire_0001,Dark,Fire,
dark_fire_0002,Dark,Fire,
dark_fire_0003,Dark,Fire,
dark_fire_0004,Dark,Fire,
dark_flying_0001,Dark,Flying,
dark_flying_0002,Dark,Flying,
dark_flying_0003,Dark,Flying,
dark_flying_0004,Dark,Flying,
dark_ghost_0001,Dark,Ghost,
dark_ghost_0002,Dark,Ghost,
dark_ghost_0003,Dark,Ghost,
dark_ghost_0004,Dark,Ghost,
dark_grass_0001,Dark,Grass,
dark_grass_0002,Dark,Grass,
dark_grass_0003,Dark,Grass,
dark_grass_0004,Dark,Grass,
dark_ground_0001,Dark,Ground,
dark_ground_0002,Dark,Ground,
dark_ground_0003,Dark,Ground,
dark_ground_0004,Dark,Ground,
dark_ice_0001,Dark,Ice,
dark_ice_0002,Dark,Ice,
dark_ice_0003,Dark,Ice,
dark_ice_0004,Dark,Ice,
dark_normal_0001,Dark,Normal,
dark_normal_0002,Dark,Normal,
dark_normal_0003,Dark,Normal,
dark_normal_0004,Dark,Normal,
dark_poison_0001,Dark,Poison,
dark_poison_0002,Dark,Poison,
dark_poison_0003,Dark,Poison,
dark_poison_0004,Dark,Poison,
dark_psychic_0001,Dark,Psychic,
dark_psychic_0002,Dark,Psychic,
dark_psychic_0003,Dark,Psychic,
dark_psychic_0004,Dark,Psychic,
dark_rock_0001,Dark,Rock,
dark_rock_0002,Dark,Rock,
dark_rock_0003,Dark,Rock,
dark_rock_0004,Dark,Rock,
dark_steel_0001,Dark,Steel,
dark_steel_0002,Dark,Steel,
dark_steel_0003,Dark,Steel,
dark_steel_0004,Dark,Steel,
dark_water_0001,Dark,Water,
dark_water_0002,Dark,Water,
dark_water_0003,Dark,Water,
dark_water_0004,Dark,Water,
dragon_0001,Dragon,,
dragon_0002,Dragon,,
dragon_0003,Dragon,,
dragon_0004,Dragon,,
dragon_bug_0001,Dragon,Bug,
dragon_bug_0002,Dragon,Bug,
dragon_bug_0003,Dragon,Bug,
dragon_bug_0004,Dragon,Bug,
dragon_dark_0001,Dragon,Dark,
dragon_dark_0002,Dragon,Dark,
dragon_dark_0003,Dragon,Dark,
dragon_dark_0004,Dragon,Dark,
dragon_electric_0001,Dragon,Electric,
dragon_electric_0002,Dragon,Electric,
dragon_electric_0003,Dragon,Electric,
dragon_electric_0004,Dragon,Electric,
dragon_fairy_0001,Dragon,Fairy,
dragon_fairy_0002,Dragon,Fairy,
dragon_fairy_0003,Dragon,Fairy,
dragon_fairy_0004,Dragon,Fairy,
dragon_fighting_0001,Dragon,Fighting,
dragon_fighting_0002,Dragon,Fighting,
dragon_fighting_0003,Dragon,Fighting,
dragon_fighting_0004,Dragon,Fighting,
dragon_fire_0001,Dragon,Fire,
dragon_fire_0002,Dragon,Fire,
dragon_fire_0003,Dragon,Fire,
dragon_fire_0004,Dragon,Fire,
dragon_flying_0001,Dragon,Flying,
dragon_flying_0002,Dragon,Flying,
dragon_flying_0003,Dragon,Flying,
dragon_flying_0004,Dragon,Flying,
dragon_ghost_0001,Dragon,Ghost,
dragon_ghost_0002,Dragon,Ghost,
dragon_ghost_0003,Dragon,Ghost,
dragon_ghost_0004,Dragon,Ghost,
dragon_grass_0001,Dragon,Grass,
dragon_grass_0002,Dragon,Grass,
dragon_grass_0003,Dragon,Grass,
dragon_grass_0004,Dragon,Grass,
dragon_ground_0001,Dragon,Ground,
dragon_ground_0002,Dragon,Ground,
dragon_ground_0003,Dragon,Ground,
dragon_ground_0004,Dragon,Ground,
dragon_ice_0001,Dragon,Ice,
dragon_ice_0002,Dragon,Ice,
dragon_ice_0003,Dragon,Ice,
dragon_ice_0004,Dragon,Ice,
dragon_normal_0001,Dragon,Normal,
dragon_normal_0002,Dragon,Normal,
dragon_normal_0003,Dragon,Normal,
dragon_normal_0004,Dragon,Normal,
dragon_poison_0001,Dragon,Poison,
dragon_poison_0002,Dragon,Poison,
dragon_poison_0003,Dragon,Poison,
dragon_poison_0004,Dragon,Poison,
dragon_psychic_0001,Dragon,Psychic,
dragon_psychic_0002,Dragon,Psychic,
dragon_psychic_0003,Dragon,Psychic,
dragon_psychic_0004,Dragon,Psychic,
dragon_rock_0001,Dragon,Rock,
dragon_rock_0002,Dragon,Rock,
dragon_rock_0003,Dragon,Rock,
dragon_rock_0004,Dragon,Rock,
dragon_steel_0001,Dragon,Steel,
dragon_steel_0002,Dragon,Steel,
dragon_steel_0003,Dragon,Steel,
dragon_steel_0004,Dragon,Steel,
dragon_water_0001,Dragon,Water,
dragon_water_0002,Dragon,Water,
dragon_water_0003,Dragon,Water,
dragon_water_0004,Dragon,Water,
electric_0001,Electric,,
electric_0002,Electric,,
electric_0003,Electric,,
electric_0004,Electric,,
electric_bug_0001,Electric,Bug,
electric_bug_0002,Electric,Bug,
electric_bug_0003,Electric,Bug,
electric_bug_0004,Electric,Bug,
electric_dark_0001,Electric,Dark,
electric_dark_0002,Electric,Dark,
electric_dark_0003,Electric,Dark,
electric_dark_0004,Electric,Dark,
electric_dragon_0001,Electric,Dragon,
electric_dragon_0002,Electric,Dragon,
electric_dragon_0003,Electric,Dragon,
electric_dragon_0004,Electric,Dragon,
electric_fairy_0001,Electric,Fairy,
electric_fairy_0002,Electric,Fairy,
electric_fairy_0003,Electric,Fairy,
electric_fairy_0004,Electric,Fairy,
electric_fighting_0001,Electric,Fighting,
electric_fighting_0002,Electric,Fighting,
electric_fighting_0003,Electric,Fighting,
electric_fighting_0004,Electric,Fighting,
electric_fire_0001,Electric,Fire,
electric_fire_0002,Electric,Fire,
electric_fire_0003,Electric,Fire,
electric_fire_0004,Electric,Fire,
electric_flying_0001,Electric,Flying,
electric_flying_0002,Electric,Flying,
electric_flying_0003,Electric,Flying,
electric_flying_0004,Electric,Flying,
electric_ghost_0001,Electric,Ghost,
electric_ghost_0002,Electric,Ghost,
electric_ghost_0003,Electric,Ghost,
electric_ghost_0004,Electric,Ghost,
electric_grass_0001,Electric,Grass,
electric_grass_0002,Electric,Grass,
electric_grass_0003,Electric,Grass,
electric_grass_0004,Electric,Grass,
electric_ground_0001,Electric,Ground,
electric_ground_0002,Electric,Ground,
electric_ground_0003,Electric,Ground,
electric_ground_0004,Electric,Ground,
electric_ice_0001,Electric,Ice,
electric_ice_0002,Electric,Ice,
electric_ice_0003,Electric,Ice,
electric_ice_0004,Electric,Ice,
electric_normal_0001,Electric,Normal,
electric_normal_0002,Electric,Normal,
electric_normal_0003,Electric,Normal,
electric_normal_0004,Electric,Normal,
electric_poison_0001,Electric,Poison,
electric_poison_0002,Electric,Poison,
electric_poison_0003,Electric,Poison,
electric_poison_0004,Electric,Poison,
electric_psychic_0001,Electric,Psychic,
electric_psychic_0002,Electric,Psychic,
electric_psychic_0003,Electric,Psychic,
electric_psychic_0004,Electric,Psychic,
electric_rock_0001,Electric,Rock,
electric_rock_0002,Electric,Rock,
electric_rock_0003,Electric,Rock,
electric_rock_0004,Electric,Rock,
electric_steel_0001,Electric,Steel,
electric_steel_0002,Electric,Steel,
electric_steel_0003,Electric,Steel,
electric_steel_0004,Electric,Steel,
electric_water_0001,Electric,Water,
electric_water_0002,Electric,Water,
electric_water_0003,Electric,Water,
electric_water_0004,Electric,Water,
fairy_0001,Fairy,,
fairy_0002,Fairy,,
fairy_0003,Fairy,,
fairy_0004,Fairy,,
fairy_bug_0001,Fairy,Bug,
fairy_bug_0002,Fairy,Bug,
fairy_bug_0003,Fairy,Bug,
fairy_bug_0004,Fairy,Bug,
fairy_dark_0001,Fairy,Dark,
fairy_dark_0002,Fairy,Dark,
fairy_dark_0003,Fairy,Dark,
fairy_dark_0004,Fairy,Dark,
fairy_dragon_0001,Fairy,Dragon,
fairy_dragon_0002,Fairy,Dragon,
fairy_dragon_0003,Fairy,Dragon,
fairy_dragon_0004,Fairy,Dragon,
fairy_electric_0001,Fairy,Electric,
fairy_electric_0002,Fairy,Electric,
fairy_electric_0003,Fairy,Electric,
fairy_electric_0004,Fairy,Electric,
fairy_fighting_0001,Fairy,Fighting,
fairy_fighting_0002,Fairy,Fighting,
fairy_fighting_0003,Fairy,Fighting,
fairy_fighting_0004,Fairy,Fighting,
fairy_fire_0001,Fairy,Fire,
fairy_fire_0002,Fairy,Fire,
fairy_fire_0003,Fairy,Fire,
fairy_fire_0004,Fairy,Fire,
fairy_flying_0001,Fairy,Flying,
fairy_flying_0002,Fairy,Flying,
fairy_flying_0003,Fairy,Flying,
fairy_flying_0004,Fairy,Flying,
fairy_ghost_0001,Fairy,Ghost,
fairy_ghost_0002,Fairy,Ghost,
fairy_ghost_0003,Fairy,Ghost,
fairy_ghost_0004,Fairy,Ghost,
fairy_grass_0001,Fairy,Grass,
fairy_grass_0002,Fairy,Grass,
fairy_grass_0003,Fairy,Grass,
fairy_grass_0004,Fairy,Grass,
fairy_ground_0001,Fairy,Ground,
fairy_ground_0002,Fairy,Ground,
fairy_ground_0003,Fairy,Ground,
fairy_ground_0004,Fairy,Ground,
fairy_ice_0001,Fairy,Ice,
fairy_ice_0002,Fairy,Ice,
fairy_ice_0003,Fairy,Ice,
fairy_ice_0004,Fairy,Ice,
fairy_normal_0001,Fairy,Normal,
fairy_normal_0002,Fairy,Normal,
fairy_normal_0003,Fairy,Normal,
fairy_normal_0004,Fairy,Normal,
fairy_poison_0001,Fairy,Poison,
fairy_poison_0002,Fairy,Poison,
fairy_poison_0003,Fairy,Poison,
fairy_poison_0004,Fairy,Poison,
fairy_psychic_0001,Fairy,Psychic,
fairy_psychic_0002,Fairy,Psychic,
fairy_psychic_0003,Fairy,Psychic,
fairy_psychic_0004,Fairy,Psychic,
fairy_rock_0001,Fairy,Rock,
fairy_rock_0002,Fairy,Rock,
fairy_rock_0003,Fairy,Rock,
fairy_rock_0004,Fairy,Rock,
fairy_steel_0001,Fairy,Steel,
fairy_steel_0002,Fairy,Steel,
fairy_steel_0003,Fairy,Steel,
fairy_steel_0004,Fairy,Steel,
fairy_water_0001,Fairy,Water,
fairy_water_0002,Fairy,Water,
fairy_water_0003,Fairy,Water,
fairy_water_0004,Fairy,Water,
fighting_0001,Fighting,,
fighting_0002,Fighting,,
fighting_0003,Fighting,,
fighting_0004,Fighting,,
fighting_bug_0001,Fighting,Bug,
fighting_bug_0002,Fighting,Bug,
fighting_bug_0003,Fighting,Bug,
fighting_bug_0004,Fighting,Bug,
fighting_dark_0001,Fighting,Dark,
fighting_dark_0002,Fighting,Dark,
fighting_dark_0003,Fighting,Dark,
fighting_dark_0004,Fighting,Dark,
fighting_dragon_0001,Fighting,Dragon,
fighting_dragon_0002,Fighting,Dragon,
fighting_dragon_0003,Fighting,Dragon,
fighting_dragon_0004,Fighting,Dragon,
fighting_electric_0001,Fighting,Electric,
fighting_electric_0002,Fighting,Electric,
fighting_electric_0003,Fighting,Electric,
fighting_electric_0004,Fighting,Electric,
fighting_fairy_0001,Fighting,Fairy,
fighting_fairy_0002,Fighting,Fairy,
fighting_fairy_0003,Fighting,Fairy,
fighting_fairy_0004,Fighting,Fairy,
fighting_fire_0001,Fighting,Fire,
fighting_fire_0002,Fighting,Fire,
fighting_fire_0003,Fighting,Fire,
fighting_fire_0004,Fighting,Fire,
fighting_flying_0001,Fighting,Flying,
fighting_flying_0002,Fighting,Flying,
fighting_flying_0003,Fighting,Flying,
fighting_flying_0004,Fighting,Flying,
fighting_ghost_0001,Fighting,Ghost,
fighting_ghost_0002,Fighting,Ghost,
fighting_ghost_0003,Fighting,Ghost,
fighting_ghost_0004,Fighting,Ghost,
fighting_grass_0001,Fighting,Grass,
fighting_grass_0002,Fighting,Grass,
fighting_grass_0003,Fighting,Grass,
fighting_grass_0004,Fighting,Grass,
fighting_ground_0001,Fighting,Ground,
fighting_ground_0002,Fighting,Ground,
fighting_ground_0003,Fighting,Ground,
fighting_ground_0004,Fighting,Ground,
fighting_ice_0001,Fighting,Ice,
fighting_ice_0002,Fighting,Ice,
fighting_ice_0003,Fighting,Ice,
fighting_ice_0004,Fighting,Ice,
fighting_normal_0001,Fighting,Normal,
fighting_normal_0002,Fighting,Normal,
fighting_normal_0003,Fighting,Normal,
fighting_normal_0004,Fighting,Normal,
fighting_poison_0001,Fighting,Poison,
fighting_poison_0002,Fighting,Poison,
fighting_poison_0003,Fighting,Poison,
fighting_poison_0004,Fighting,Poison,
fighting_psychic_0001,Fighting,Psychic,
fighting_psychic_0002,Fighting,Psychic,
fighting_psychic_0003,Fighting,Psychic,
fighting_psychic_0004,Fighting,Psychic,
fighting_rock_0001,Fighting,Rock,
fighting_rock_0002,Fighting,Rock,
fighting_rock_0003,Fighting,Rock,
fighting_rock_0004,Fighting,Rock,
fighting_steel_0001,Fighting,Steel,
fighting_steel_0002,Fighting,Steel,
fighting_steel_0003,Fighting,Steel,
fighting_steel_0004,Fighting,Steel,
fighting_water_0001,Fighting,Water,
fighting_water_0002,Fighting,Water,
fighting_water_0003,Fighting,Water,
fighting_water_0004,Fighting,Water,
fire_0001,Fire,,
fire_0002,Fire,,
fire_0003,Fire,,
fire_0004,Fire,,
fire_bug_0001,Fire,Bug,
fire_bug_0002,Fire,Bug,
fire_bug_0003,Fire,Bug,
fire_bug_0004,Fire,Bug,
fire_dark_0001,Fire,Dark,
fire_dark_0002,Fire,Dark,
fire_dark_0003,Fire,Dark,
fire_dark_0004,Fire,Dark,
fire_dragon_0001,Fire,Dragon,
fire_dragon_0002,Fire,Dragon,
fire_dragon_0003,Fire,Dragon,
fire_dragon_0004,Fire,Dragon,
fire_electric_0001,Fire,Electric,
fire_electric_0002,Fire,Electric,
fire_electric_0003,Fire,Electric,
fire_electric_0004,Fire,Electric,
fire_fairy_0001,Fire,Fairy,
fire_fairy_0002,Fire,Fairy,
fire_fairy_0003,Fire,Fairy,
fire_fairy_0004,Fire,Fairy,
fire_fighting_0001,Fire,Fighting,
fire_fighting_0002,Fire,Fighting,
fire_fighting_0003,Fire,Fighting,
fire_fighting_0004,Fire,Fighting,
fire_flying_0001,Fire,Flying,
fire_flying_0002,Fire,Flying,
fire_flying_0003,Fire,Flying,
fire_flying_0004,Fire,Flying,
fire_ghost_0001,Fire,Ghost,
fire_ghost_0002,Fire,Ghost,
fire_ghost_0003,Fire,Ghost,
fire_ghost_0004,Fire,Ghost,
fire_grass_0001,Fire,Grass,
fire_grass_0002,Fire,Grass,
fire_grass_0003,Fire,Grass,
fire_grass_0004,Fire,Grass,
fire_ground_0001,Fire,Ground,
fire_ground_0002,Fire,Ground,
fire_ground_0003,Fire,Ground,
fire_ground_0004,Fire,Ground,
fire_ice_0001,Fire,Ice,
fire_ice_0002,Fire,Ice,
fire_ice_0003,Fire,Ice,
fire_ice_0004,Fire,Ice,
fire_normal_0001,Fire,Normal,
fire_normal_0002,Fire,Normal,
fire_normal_0003,Fire,Normal,
fire_normal_0004,Fire,Normal,
fire_poison_0001,Fire,Poison,
fire_poison_0002,Fire,Poison,
fire_poison_0003,Fire,Poison,
fire_poison_0004,Fire,Poison,
fire_psychic_0001,Fire,Psychic,
fire_psychic_0002,Fire,Psychic,
fire_psychic_0003,Fire,Psychic,
fire_psychic_0004,Fire,Psychic,
fire_rock_0001,Fire,Rock,
fire_rock_0002,Fire,Rock,
fire_rock_0003,Fire,Rock,
fire_rock_0004,Fire,Rock,
fire_steel_0001,Fire,Steel,
fire_steel_0002,Fire,Steel,
fire_steel_0003,Fire,Steel,
fire_steel_0004,Fire,Steel,
fire_water_0001,Fire,Water,
fire_water_0002,Fire,Water,
fire_water_0003,Fire,Water,
fire_water_0004,Fire,Water,
flying_0001,Flying,,
flying_0002,Flying,,
flying_0003,Flying,,
flying_0004,Flying,,
flying_bug_0001,Flying,Bug,
flying_bug_0002,Flying,Bug,
flying_bug_0003,Flying,Bug,
flying_bug_0004,Flying,Bug,
flying_dark_0001,Flying,Dark,
flying_dark_0002,Flying,Dark,
flying_dark_0003,Flying,Dark,
flying_dark_0004,Flying,Dark,
flying_dragon_0001,Flying,Dragon,
flying_dragon_0002,Flying,Dragon,
flying_dragon_0003,Flying,Dragon,
flying_dragon_0004,Flying,Dragon,
flying_electric_0001,Flying,Electric,
flying_electric_0002,Flying,Electric,
flying_electric_0003,Flying,Electric,
flying_electric_0004,Flying,Electric,
flying_fairy_0001,Flying,Fairy,
flying_fairy_0002,Flying,Fairy,
flying_fairy_0003,Flying,Fairy,
flying_fairy_0004,Flying,Fairy,
flying_fighting_0001,Flying,Fighting,
flying_fighting_0002,Flying,Fighting,
flying_fighting_0003,Flying,Fighting,
flying_fighting_0004,Flying,Fighting,
flying_fire_0001,Flying,Fire,
flying_fire_0002,Flying,Fire,
flying_fire_0003,Flying,Fire,
flying_fire_0004,Flying,Fire,
flying_ghost_0001,Flying,Ghost,
flying_ghost_0002,Flying,Ghost,
flying_ghost_0003,Flying,Ghost,
flying_ghost_0004,Flying,Ghost,
flying_grass_0001,Flying,Grass,
flying_grass_0002,Flying,Grass,
flying_grass_0003,Flying,Grass,
flying_grass_0004,Flying,Grass,
flying_ground_0001,Flying,Ground,
flying_ground_0002,Flying,Ground,
flying_ground_0003,Flying,Ground,
flying_ground_0004,Flying,Ground,
flying_ice_0001,Flying,Ice,
flying_ice_0002,Flying,Ice,
flying_ice_0003,Flying,Ice,
flying_ice_0004,Flying,Ice,
flying_normal_0001,Flying,Normal,
flying_normal_0002,Flying,Normal,
flying_normal_0003,Flying,Normal,
flying_normal_0004,Flying,Normal,
flying_poison_0001,Flying,Poison,
flying_poison_0002,Flying,Poison,
flying_poison_0003,Flying,Poison,
flying_poison_0004,Flying,Poison,
flying_psychic_0001,Flying,Psychic,
flying_psychic_0002,Flying,Psychic,
flying_psychic_0003,Flying,Psychic,
flying_psychic_0004,Flying,Psychic,
flying_rock_0001,Flying,Rock,
flying_rock_0002,Flying,Rock,
flying_rock_0003,Flying,Rock,
flying_rock_0004,Flying,Rock,
flying_steel_0001,Flying,Steel,
flying_steel_0002,Flying,Steel,
flying_steel_0003,Flying,Steel,
flying_steel_0004,Flying,Steel,
flying_water_0001,Flying,Water,
flying_water_0002,Flying,Water,
flying_water_0003,Flying,Water,
flying_water_0004,Flying,Water,
ghost_0001,Ghost,,
ghost_0002,Ghost,,
ghost_0003,Ghost,,
ghost_0004,Ghost,,
ghost_bug_0001,Ghost,Bug,
ghost_bug_0002,Ghost,Bug,
ghost_bug_0003,Ghost,Bug,
ghost_bug_0004,Ghost,Bug,
ghost_dark_0001,Ghost,Dark,
ghost_dark_0002,Ghost,Dark,
ghost_dark_0003,Ghost,Dark,
ghost_dark_0004,Ghost,Dark,
ghost_dragon_0001,Ghost,Dragon,
ghost_dragon_0002,Ghost,Dragon,
ghost_dragon_0003,Ghost,Dragon,
ghost_dragon_0004,Ghost,Dragon,
ghost_electric_0001,Ghost,Electric,
ghost_electric_0002,Ghost,Electric,
ghost_electric_0003,Ghost,Electric,
ghost_electric_0004,Ghost,Electric,
ghost_fairy_0001,Ghost,Fairy,
ghost_fairy_0002,Ghost,Fairy,
ghost_fairy_0003,Ghost,Fairy,
ghost_fairy_0004,Ghost,Fairy,
ghost_fighting_0001,Ghost,Fighting,
ghost_fighting_0002,Ghost,Fighting,
ghost_fighting_0003,Ghost,Fighting,
ghost_fighting_0004,Ghost,Fighting,
ghost_fire_0001,Ghost,Fire,
ghost_fire_0002,Ghost,Fire,
ghost_fire_0003,Ghost,Fire,
ghost_fire_0004,Ghost,Fire,
ghost_flying_0001,Ghost,Flying,
ghost_flying_0002,Ghost,Flying,
ghost_flying_0003,Ghost,Flying,
ghost_flying_0004,Ghost,Flying,
ghost_grass_0001,Ghost,Grass,
ghost_grass_0002,Ghost,Grass,
ghost_grass_0003,Ghost,Grass,
ghost_grass_0004,Ghost,Grass,
ghost_ground_0001,Ghost,Ground,
ghost_ground_0002,Ghost,Ground,
ghost_ground_0003,Ghost,Ground,
ghost_ground_0004,Ghost,Ground,
ghost_ice_0001,Ghost,Ice,
ghost_ice_0002,Ghost,Ice,
ghost_ice_0003,Ghost,Ice,
ghost_ice_0004,Ghost,Ice,
ghost_normal_0001,Ghost,Normal,
ghost_normal_0002,Ghost,Normal,
ghost_normal_0003,Ghost,Normal,
ghost_normal_0004,Ghost,Normal,
ghost_poison_0001,Ghost,Poison,
ghost_poison_0002,Ghost,Poison,
ghost_poison_0003,Ghost,Poison,
ghost_poison_0004,Ghost,Poison,
ghost_psychic_0001,Ghost,Psychic,
ghost_psychic_0002,Ghost,Psychic,
ghost_psychic_0003,Ghost,Psychic,
ghost_psychic_0004,Ghost,Psychic,
ghost_rock_0001,Ghost,Rock,
ghost_rock_0002,Ghost,Rock,
ghost_rock_0003,Ghost,Rock,
ghost_rock_0004,Ghost,Rock,
ghost_steel_0001,Ghost,Steel,
ghost_steel_0002,Ghost,Steel,
ghost_steel_0003,Ghost,Steel,
ghost_steel_0004,Ghost,Steel,
ghost_water_0001,Ghost,Water,
ghost_water_0002,Ghost,Water,
ghost_water_0003,Ghost,Water,
ghost_water_0004,Ghost,Water,
grass_0001,Grass,,
grass_0002,Grass,,
grass_0003,Grass,,
grass_0004,Grass,,
grass_bug_0001,Grass,Bug,
grass_bug_0002,Grass,Bug,
grass_bug_0003,Grass,Bug,
grass_bug_0004,Grass,Bug,
grass_dark_0001,Grass,Dark,
grass_dark_0002,Grass,Dark,
grass_dark_0003,Grass,Dark,
grass_dark_0004,Grass,Dark,
grass_dragon_0001,Grass,Dragon,
grass_dragon_0002,Grass,Dragon,
grass_dragon_0003,Grass,Dragon,
grass_dragon_0004,Grass,Dragon,
grass_electric_0001,Grass,Electric,
grass_electric_0002,Grass,Electric,
grass_electric_0003,Grass,Electric,
grass_electric_0004,Grass,Electric,
grass_fairy_0001,Grass,Fairy,
grass_fairy_0002,Grass,Fairy,
grass_fairy_0003,Grass,Fairy,
grass_fairy_0004,Grass,Fairy,
grass_fighting_0001,Grass,Fighting,
grass_fighting_0002,Grass,Fighting,
grass_fighting_0003,Grass,Fighting,
grass_fighting_0004,Grass,Fighting,
grass_fire_0001,Grass,Fire,
grass_fire_0002,Grass,Fire,
grass_fire_0003,Grass,Fire,
grass_fire_0004,Grass,Fire,
grass_flying_0001,Grass,Flying,
grass_flying_0002,Grass,Flying,
grass_flying_0003,Grass,Flying,
grass_flying_0004,Grass,Flying,
grass_ghost_0001,Grass,Ghost,
grass_ghost_0002,Grass,Ghost,
grass_ghost_0003,Grass,Ghost,
grass_ghost_0004,Grass,Ghost,
grass_ground_0001,Grass,Ground,
grass_ground_0002,Grass,Ground,
grass_ground_0003,Grass,Ground,
grass_ground_0004,Grass,Ground,
grass_ice_0001,Grass,Ice,
grass_ice_0002,Grass,Ice,
grass_ice_0003,Grass,Ice,
grass_ice_0004,Grass,Ice,
grass_normal_0001,Grass,Normal,
grass_normal_0002,Grass,Normal,
grass_normal_0003,Grass,Normal,
grass_normal_0004,Grass,Normal,
grass_poison_0001,Grass,Poison,
grass_poison_0002,Grass,Poison,
grass_poison_0003,Grass,Poison,
grass_poison_0004,Grass,Poison,
grass_psychic_0001,Grass,Psychic,
grass_psychic_0002,Grass,Psychic,
grass_psychic_0003,Grass,Psychic,
grass_psychic_0004,Grass,Psychic,
grass_rock_0001,Grass,Rock,
grass_rock_0002,Grass,Rock,
grass_rock_0003,Grass,Rock,
grass_rock_0004,Grass,Rock,
grass_steel_0001,Grass,Steel,
grass_steel_0002,Grass,Steel,
grass_steel_0003,Grass,Steel,
grass_steel_0004,Grass,Steel,
grass_water_0001,Grass,Water,
grass_water_0002,Grass,Water,
grass_water_0003,Grass,Water,
grass_water_0004,Grass,Water,
ground_0001,Ground,,
ground_0002,Ground,,
ground_0003,Ground,,
ground_0004,Ground,,
ground_bug_0001,Ground,Bug,
ground_bug_0002,Ground,Bug,
ground_bug_0003,Ground,Bug,
ground_bug_0004,Ground,Bug,
ground_dark_0001,Ground,Dark,
ground_dark_0002,Ground,Dark,
ground_dark_0003,Ground,Dark,
ground_dark_0004,Ground,Dark,
ground_dragon_0001,Ground,Dragon,
ground_dragon_0002,Ground,Dragon,
ground_dragon_0003,Ground,Dragon,
ground_dragon_0004,Ground,Dragon,
ground_electric_0001,Ground,Electric,
ground_electric_0002,Ground,Electric,
ground_electric_0003,Ground,Electric,
ground_electric_0004,Ground,Electric,
ground_fairy_0001,Ground,Fairy,
ground_fairy_0002,Ground,Fairy,
